source_sitemap,source_url,status,target,locale,reason
"post-sitemap.xml","https://www.petroni.hr/en/prozori-za-kamp-vozila-carbest/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/en/putopis-kamperom-preko-alpi/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/en/putopis-crna-gora/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/en/zasto-su-kamperi-i-kampiranje-nesto-fenomenalno/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/en/eurowagon-prikolice/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/toaletna-tekucina-solbio-original/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/priprema-kampera-za-zimu/","308","/novosti/priprema-kampera-za-zimu","",""
"post-sitemap.xml","https://www.petroni.hr/priprema-kamp-prikolice-za-zimski-san/","308","/novosti/priprema-kamp-prikolice-za-zimu","",""
"post-sitemap.xml","https://www.petroni.hr/katalog-reimo-2023/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/en/air-conditioning-unit-plein-aircon-12v/","308","/novosti/klima-uredaj-plein-aircon-12v?lang=en","en",""
"post-sitemap.xml","https://www.petroni.hr/putopis-kamperom-preko-alpi/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/zasto-su-kamperi-i-kampiranje-nesto-fenomenalno/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/weinsberg-caracito/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/megamobil-slovenska-bistrica/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/eurowagon-prikolice/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/putopis-crna-gora/","410","","","removed_content"
"post-sitemap.xml","https://www.petroni.hr/camping-center-petroni-postao-ovlasteni-servis-za-alde-grijanje-u-hrvatskoj/","308","/novosti/camping-center-petroni-alde-servis","",""
"post-sitemap.xml","https://www.petroni.hr/klima-uredaj-plein-aircon-12v/","308","/novosti/klima-uredaj-plein-aircon-12v","",""
"post-sitemap.xml","https://www.petroni.hr/camper-trolley-za-jednostavno-manevriranje-sa-prikolicama/","308","/novosti/camper-trolley","",""
"page-sitemap.xml","https://www.petroni.hr/","200","/","",""
"page-sitemap.xml","https://www.petroni.hr/en/","308","/?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/cookie-policy-eu/","308","/privatnost","",""
"page-sitemap.xml","https://www.petroni.hr/search-availability/","308","/rezerviraj","",""
"page-sitemap.xml","https://www.petroni.hr/search-results/","308","/rezerviraj","",""
"page-sitemap.xml","https://www.petroni.hr/en/vehicles/vehicles-for-rent-2/","308","/vozila/najam-kampera?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/en/search-results/","308","/rezerviraj?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/en/rental-terms-and-conditions/","308","/uvjeti-najma?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/en/cookie-policy-eu/","308","/privatnost?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/en/privacy-policy-terms-of-service/","308","/privatnost?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/en/returns-and-refunds/","308","/reklamacije-povrat?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/en/my-account/","308","/moj-racun?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/naplata/","308","/checkout","",""
"page-sitemap.xml","https://www.petroni.hr/en/checkout/","308","/checkout?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/kosarica-2/","308","/kosarica","",""
"page-sitemap.xml","https://www.petroni.hr/en/cart/","308","/kosarica?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/vozila/vozila-za-filmske-produkcije/","200","/vozila/vozila-za-filmske-produkcije","",""
"page-sitemap.xml","https://www.petroni.hr/en/shop/","308","/shop?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/en/vehicles/movie-production-vehicles/","308","/vozila/vozila-za-filmske-produkcije?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/en/contact-2/","308","/kontakt?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/uvjeti-i-odredbe-nagradne-igre/","410","","","removed_content"
"page-sitemap.xml","https://www.petroni.hr/en/faqs/","308","/faq?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/novosti/","200","/novosti","",""
"page-sitemap.xml","https://www.petroni.hr/en/news/","308","/novosti?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/en/payment-and-delivery/","308","/placanje-dostava?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/en/vehicles/","308","/vozila?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/en/vehicles/vehicles-for-sale/","308","/vozila/vozila-za-prodaju?lang=en","en",""
"page-sitemap.xml","https://www.petroni.hr/shop/","200","/shop","",""
"page-sitemap.xml","https://www.petroni.hr/vozila/","200","/vozila","",""
"page-sitemap.xml","https://www.petroni.hr/vozila/vozila-za-prodaju/","200","/vozila/vozila-za-prodaju","",""
"page-sitemap.xml","https://www.petroni.hr/kontakt/","200","/kontakt","",""
"page-sitemap.xml","https://www.petroni.hr/faqs/","308","/faq","",""
"page-sitemap.xml","https://www.petroni.hr/o-nama/","200","/o-nama","",""
"page-sitemap.xml","https://www.petroni.hr/placanje-i-dostava/","308","/placanje-dostava","",""
"page-sitemap.xml","https://www.petroni.hr/reklamacije-i-povrat/","308","/reklamacije-povrat","",""
"page-sitemap.xml","https://www.petroni.hr/privatnost-i-uvjeti-poslovanja/","308","/privatnost","",""
"page-sitemap.xml","https://www.petroni.hr/uvjeti-najma/","200","/uvjeti-najma","",""
"page-sitemap.xml","https://www.petroni.hr/rezerviraj/","200","/rezerviraj","",""
